PAIS,NOMBRE PAIS,ANIO,TRAB.INDEX,ESPERANZA
MEX,Mexico,2006,3455.4301953172157,74.3313
MEX,Mexico,2007,3699.339174978428,74.2384
MEX,Mexico,2008,3919.502573796868,74.1524
MEX,Mexico,2009,3501.485514736704,74.119
MEX,Mexico,2010,3600.3392026962997,74.1901
MEX,Mexico,2011,3741.909761927753,74.3651
MEX,Mexico,2012,4117.103331786076,74.574
MEX,Mexico,2013,4217.593607010276,74.7391
MEX,Mexico,2014,4300.165044056242,74.7974
MEX,Mexico,2015,4207.113199417247,74.6822
MEX,Mexico,2016,3916.5504701691502,74.4122
MEX,Mexico,2017,3734.942085231094,74.1378
MEX,Mexico,2018,3883.220400995692,74.0146
MEX,Mexico,2019,4054.95167188372,74.2021
MEX,Mexico,2020,3355.431608134513,70.1328
NIC,Nicaragua,2000,322.99894068423515,67.2335
NIC,Nicaragua,2001,332.16444813363165,67.2145
NIC,Nicaragua,2002,334.0351662399192,67.1799
NIC,Nicaragua,2003,353.6147646073451,67.2174
NIC,Nicaragua,2004,393.00676057283135,67.4233
NIC,Nicaragua,2005,433.49281040367794,67.9359
NIC,Nicaragua,2006,455.8189996403541,68.7246
NIC,Nicaragua,2007,499.7006385971114,69.5595
NIC,Nicaragua,2008,538.7904406860528,70.5863
NIC,Nicaragua,2009,530.9336845392024,71.4328
NIC,Nicaragua,2010,570.9475695468692,72.009
NIC,Nicaragua,2011,630.6681596839592,72.4162
NIC,Nicaragua,2012,688.1161063964577,72.6148
NIC,Nicaragua,2013,724.4418092847427,72.7044
NIC,Nicaragua,2014,776.193717650805,72.8121
NIC,Nicaragua,2015,805.8143113371601,72.983
NIC,Nicaragua,2016,848.8242615367776,73.2562
NIC,Nicaragua,2017,890.8758805815586,73.5536
NIC,Nicaragua,2018,849.1555087292526,73.8497
NIC,Nicaragua,2019,816.1244659119399,74.0543
NIC,Nicaragua,2020,739.8919097044118,71.7954
