PAIS,NOMBRE PAIS,ANIO,ALFABETIZACION,ANIOS ESCOLARIDAD,ED.INDEX,ESPERANZA
GTM,Guatemala,2017,80.92948150634763,6.4,5.179486816406248,72.5506
GTM,Guatemala,2018,80.810676574707,6.5,5.252693977355955,72.7257
GTM,Guatemala,2019,80.810676574707,6.5,5.252693977355955,73.1289
GTM,Guatemala,2020,80.810676574707,6.6,5.333504653930662,71.7969
GUY,Guyana,2000,84.994010925293,7.6,6.459544830322267,64.4833
GUY,Guyana,2001,84.994010925293,7.7,6.544538841247561,64.7882
GUY,Guyana,2002,84.994010925293,7.8,6.629532852172853,64.7275
GUY,Guyana,2003,84.994010925293,7.8,6.629532852172853,64.6003
GUY,Guyana,2004,84.994010925293,7.8,6.629532852172853,64.9305
GUY,Guyana,2005,84.994010925293,7.9,6.714526863098147,65.132
GUY,Guyana,2006,84.994010925293,7.9,6.714526863098147,65.6666
GUY,Guyana,2007,84.994010925293,7.9,6.714526863098147,66.2535
GUY,Guyana,2008,84.994010925293,8.0,6.79952087402344,66.288
GUY,Guyana,2009,84.994010925293,8.0,6.79952087402344,66.5625
GUY,Guyana,2010,85.12315521240235,8.0,6.809852416992189,66.743
GUY,Guyana,2011,85.25229949951172,8.1,6.905436259460449,66.9818
GUY,Guyana,2012,85.38144378662108,8.2,7.001278390502928,67.2298
GUY,Guyana,2013,85.51058807373045,8.3,7.097378810119627,67.4727
GUY,Guyana,2014,85.6397323608398,8.3,7.108097785949704,67.8818
GUY,Guyana,2015,85.6397323608398,8.4,7.193737518310543,68.2015
